# {'date': '2017-08-30 13_06_58.638000', 'exp_name': 'binauraldiscr', 'session': 'study', 'participant': '025'}
timestamp	event	value
1552.5062055	flip	1552.50620167
1552.51353678	flip	1552.51353371
1552.52035428	flip	1552.52034764
1552.52725047	flip	1552.52724357
1552.53424017	flip	1552.53423353
1552.54135046	flip	1552.54134356
1552.54836059	flip	1552.54835369
1552.55507667	flip	1552.55507028
1552.56202881	flip	1552.56202268
1552.56902643	flip	1552.5690203
1552.57616354	flip	1552.57615741
1552.5828786	flip	1552.58287247
1552.58999272	flip	1552.58998658
1552.59675478	flip	1552.59674916
1552.6038385	flip	1552.60383313
1552.61061947	flip	1552.61061334
1552.61761606	flip	1552.61761019
1552.62475087	flip	1552.62474423
1552.6314667	flip	1552.63146057
1552.63864673	flip	1552.6386406
1552.64536868	flip	1552.64536204
1552.65249021	flip	1552.65248357
1552.65925892	flip	1552.6592533
1552.66630099	flip	1552.66629307
1552.67313229	flip	1552.67312667
1552.68006834	flip	1552.6800622
1552.68740114	flip	1552.68739501
1552.69399817	flip	1552.69399229
1552.70112685	flip	1552.70112097
1552.70787154	flip	1552.70786515
1552.71476722	flip	1552.71476135
1552.72172958	flip	1552.72171119
1552.72883859	flip	1552.72883297
1552.73560423	flip	1552.7355981
1552.74255408	flip	1552.74254846
1552.74975455	flip	1552.74974765
1552.75647701	flip	1552.75647114
1552.76340642	flip	1552.76340029
1552.77006169	flip	1552.77005735
1552.7772522	flip	1552.77724632
1552.78422018	flip	1552.7842143
1552.7909194	flip	1552.79091429
1552.79773179	flip	1552.79772949
1552.8046847	flip	1552.80468214
1552.81200244	flip	1552.81199605
1552.81894231	flip	1552.81893618
1552.82597238	flip	1552.82596625
1552.83291481	flip	1552.83290868
1552.83976349	flip	1552.83975735
1552.8468191	flip	1552.84681297
1552.85353467	flip	1552.8535293
1552.86058849	flip	1552.86058236
1552.86766454	flip	1552.86765534
1552.87424215	flip	1552.87423934
1552.88149933	flip	1552.88149346
1552.88862878	flip	1552.88862316
1552.89538139	flip	1552.89537552
1552.90203156	flip	1552.90202568
1552.90892392	flip	1552.90892111
1552.91589267	flip	1552.91588653
1552.92307704	flip	1552.92307142
1552.930149	flip	1552.93014134
1553.67282265	screen_text	We will now perform a screen calibration.\n\nPress a button to continue.
1553.67287017	flip	1553.67281754
1556.19046568	keypresses	1
1556.1935392	flip	1556.19353613
1556.20081503	flip	1556.2008089
1556.72128581	flip	1556.72128198
1564.90878034	flip	1564.90877421
1564.91576978	flip	1564.91576339
1564.92262407	flip	1564.92261769
1564.9295637	flip	1564.92955706
1564.93665099	flip	1564.93664486
1564.9432079	flip	1564.94320126
1564.95039023	flip	1564.95038436
1564.95744278	flip	1564.95743486
1564.9644266	flip	1564.96442047
1564.97124743	flip	1564.9712413
1564.97830023	flip	1564.97829384
1564.98497518	flip	1564.98496879
1566.33226347	flip	1566.33225784
1566.3391359	flip	1566.33912977
1566.34627837	flip	1566.3462725
1567.33922915	flip	1567.33922276
1567.34620454	flip	1567.34619815
1567.353055	flip	1567.35304836
1568.33884337	flip	1568.33884031
1568.34582336	flip	1568.34582106
1568.35275353	flip	1568.35275174
1569.34608957	flip	1569.3460837
1569.35303252	flip	1569.35302639
1569.35996397	flip	1569.35995809
1570.31802143	flip	1570.31801862
1572.04010128	flip	1572.04009847
1572.04706952	flip	1572.04706722
1572.68622236	flip	1572.68621623
1572.69290343	flip	1572.69290088
1572.69980601	flip	1572.69980423
1573.70000784	flip	1573.70000452
1573.70676786	flip	1573.70676531
1573.71366968	flip	1573.71366763
1574.70672878	flip	1574.70672571
1574.72752057	flip	1574.72751852
1574.7344653	flip	1574.73446351
1575.78306234	flip	1575.78305953
1575.80388275	flip	1575.80388045
1575.81081419	flip	1575.81081215
1576.81794492	flip	1576.8179416
1578.22053636	flip	1578.2205333
1578.32494803	flip	1578.3249419
1578.3317313	flip	1578.3317244
1578.73427471	flip	1578.73427165
1578.74125751	flip	1578.74125547
1579.45693808	tracker_identify	{"tracker_id": 316912024, "tracker_type": "TrackerBinom"}
1579.45698458	tracker_316912024_init	{"max_trials": 40, "callback": null, "chance": 0.5, "min_trials": 40, "x_current": -0.625, "alpha": 0.05, "stop_early": false}
1579.45700987	tracker_identify	{"tracker_id": 316913088, "tracker_type": "TrackerBinom"}
1579.45702673	tracker_316913088_init	{"max_trials": 40, "callback": null, "chance": 0.5, "min_trials": 40, "x_current": 0.625, "alpha": 0.05, "stop_early": false}
1579.45704487	tracker_identify	{"tracker_id": 316912416, "tracker_type": "TrackerBinom"}
1579.45705994	tracker_316912416_init	{"max_trials": 40, "callback": null, "chance": 0.5, "min_trials": 40, "x_current": -1.25, "alpha": 0.05, "stop_early": false}
1579.4570768	tracker_identify	{"tracker_id": 316912584, "tracker_type": "TrackerBinom"}
1579.45709162	tracker_316912584_init	{"max_trials": 40, "callback": null, "chance": 0.5, "min_trials": 40, "x_current": 1.25, "alpha": 0.05, "stop_early": false}
1579.45710746	tracker_identify	{"tracker_id": 316913032, "tracker_type": "TrackerBinom"}
1579.45712126	tracker_316913032_init	{"max_trials": 40, "callback": null, "chance": 0.5, "min_trials": 40, "x_current": -2.5, "alpha": 0.05, "stop_early": false}
1579.45713914	tracker_identify	{"tracker_id": 316913312, "tracker_type": "TrackerBinom"}
1579.45715294	tracker_316913312_init	{"max_trials": 40, "callback": null, "chance": 0.5, "min_trials": 40, "x_current": 2.5, "alpha": 0.05, "stop_early": false}
1579.45716878	tracker_identify	{"tracker_id": 316913592, "tracker_type": "TrackerBinom"}
1579.45718232	tracker_316913592_init	{"max_trials": 40, "callback": null, "chance": 0.5, "min_trials": 40, "x_current": -5.0, "alpha": 0.05, "stop_early": false}
1579.4571979	tracker_identify	{"tracker_id": 316913536, "tracker_type": "TrackerBinom"}
1579.45721195	tracker_316913536_init	{"max_trials": 40, "callback": null, "chance": 0.5, "min_trials": 40, "x_current": 5.0, "alpha": 0.05, "stop_early": false}
1579.45722728	tracker_identify	{"tracker_id": 316913368, "tracker_type": "TrackerBinom"}
1579.45724057	tracker_316913368_init	{"max_trials": 40, "callback": null, "chance": 0.5, "min_trials": 40, "x_current": -10, "alpha": 0.05, "stop_early": false}
1579.4572559	tracker_identify	{"tracker_id": 316913256, "tracker_type": "TrackerBinom"}
1579.45726995	tracker_316913256_init	{"max_trials": 40, "callback": null, "chance": 0.5, "min_trials": 40, "x_current": 10, "alpha": 0.05, "stop_early": false}
1579.45728604	tracker_identify	{"tracker_id": 316913760, "tracker_type": "TrackerBinom"}
1579.45729984	tracker_316913760_init	{"max_trials": 40, "callback": null, "chance": 0.5, "min_trials": 40, "x_current": -0.625, "alpha": 0.05, "stop_early": false}
1579.45731542	tracker_identify	{"tracker_id": 316913704, "tracker_type": "TrackerBinom"}
1579.45732896	tracker_316913704_init	{"max_trials": 40, "callback": null, "chance": 0.5, "min_trials": 40, "x_current": 0.625, "alpha": 0.05, "stop_early": false}
1579.45734531	tracker_identify	{"tracker_id": 316913648, "tracker_type": "TrackerBinom"}
1579.45735937	tracker_316913648_init	{"max_trials": 40, "callback": null, "chance": 0.5, "min_trials": 40, "x_current": -1.25, "alpha": 0.05, "stop_early": false}
1579.45737469	tracker_identify	{"tracker_id": 316913816, "tracker_type": "TrackerBinom"}
1579.45738798	tracker_316913816_init	{"max_trials": 40, "callback": null, "chance": 0.5, "min_trials": 40, "x_current": 1.25, "alpha": 0.05, "stop_early": false}
1579.45740305	tracker_identify	{"tracker_id": 316913872, "tracker_type": "TrackerBinom"}
1579.45741659	tracker_316913872_init	{"max_trials": 40, "callback": null, "chance": 0.5, "min_trials": 40, "x_current": -2.5, "alpha": 0.05, "stop_early": false}
1579.45743167	tracker_identify	{"tracker_id": 316913928, "tracker_type": "TrackerBinom"}
1579.45744546	tracker_316913928_init	{"max_trials": 40, "callback": null, "chance": 0.5, "min_trials": 40, "x_current": 2.5, "alpha": 0.05, "stop_early": false}
1579.45746079	tracker_identify	{"tracker_id": 316913984, "tracker_type": "TrackerBinom"}
1579.45751751	tracker_316913984_init	{"max_trials": 40, "callback": null, "chance": 0.5, "min_trials": 40, "x_current": -5.0, "alpha": 0.05, "stop_early": false}
1579.45753922	tracker_identify	{"tracker_id": 316914040, "tracker_type": "TrackerBinom"}
1579.45755839	tracker_316914040_init	{"max_trials": 40, "callback": null, "chance": 0.5, "min_trials": 40, "x_current": 5.0, "alpha": 0.05, "stop_early": false}
1579.45757934	tracker_identify	{"tracker_id": 316914096, "tracker_type": "TrackerBinom"}
1579.45759773	tracker_316914096_init	{"max_trials": 40, "callback": null, "chance": 0.5, "min_trials": 40, "x_current": -10, "alpha": 0.05, "stop_early": false}
1579.45761868	tracker_identify	{"tracker_id": 316914152, "tracker_type": "TrackerBinom"}
1579.45763222	tracker_316914152_init	{"max_trials": 40, "callback": null, "chance": 0.5, "min_trials": 40, "x_current": 10, "alpha": 0.05, "stop_early": false}
1579.45775485	dealer_identify	{"dealer_id": 249509760}
1579.45778193	dealer_249509760_init	{"shape": [2, 5, 2], "pace_rule": "trials", "max_lag": 2, "trackers": [316912024, 316913088, 316912416, 316912584, 316913032, 316913312, 316913592, 316913536, 316913368, 316913256, 316913760, 316913704, 316913648, 316913816, 316913872, 316913928, 316913984, 316914040, 316914096, 316914152]}
1579.45780365	tracker_identify	{"tracker_id": 316912528, "tracker_type": "TrackerBinom"}
1579.45781847	tracker_316912528_init	{"max_trials": 20, "callback": null, "chance": 0.5, "min_trials": 10, "x_current": -10, "alpha": 0.05, "stop_early": false}
1579.45783456	tracker_identify	{"tracker_id": 316914208, "tracker_type": "TrackerBinom"}
1579.45786113	tracker_316914208_init	{"max_trials": 20, "callback": null, "chance": 0.5, "min_trials": 10, "x_current": 10, "alpha": 0.05, "stop_early": false}
1579.45790609	dealer_identify	{"dealer_id": 249510824}
